,component,cui,name
390,vascular disease,S-253651002,Aortic arch and descending aorta abnormality (disorder)
391,vascular disease,S-127317007,Injury of middle colic artery (disorder)
392,vascular disease,S-9631000119102,Carotid sinus hypersensitivity (disorder)
393,vascular disease,S-195273007,Ulnar artery aneurysm (disorder)
394,vascular disease,S-450314002,Vascular ring with right aortic arch and left patent ductus arteriosus (disorder)
395,vascular disease,S-461293002,Acquired abnormality of jugular vein (disorder)
396,vascular disease,S-447968008,Descending aorta anterior and same side as azygos vein with azygos continuity of inferior vena cava (disorder)
397,vascular disease,S-53751009,Senile purpura (disorder)
398,vascular disease,S-735831001,Laceration of superficial palmar arch (disorder)
399,vascular disease,S-195182007,Vertebral artery occlusion (disorder)
400,vascular disease,S-15972501000119101,Thrombosis of right iliac artery (disorder)
401,vascular disease,S-971000119105,Telangiectasia of limb (disorder)
402,vascular disease,S-24272004,Injury of ulnar vein (disorder)
403,vascular disease,S-233986009,Common femoral aneurysm (disorder)
404,vascular disease,S-262942001,Transection of carotid artery (disorder)
405,vascular disease,S-16014791000119105,Occlusion of left popliteal artery (disorder)
406,vascular disease,S-95691008,Arteriosclerotic retinopathy (disorder)
407,vascular disease,S-132111000119107,Acute deep venous thrombosis of lower limb due to coronary artery bypass grafting (disorder)
408,vascular disease,S-231847000,Orbital thrombophlebitis (disorder)
409,vascular disease,S-703299009,Cutaneous capillary malformation (disorder)
410,vascular disease,S-64775002,Vertebral artery thrombosis (disorder)
411,vascular disease,S-447850009,Double aortic arch with right arch dominant and coarctation of left arch (disorder)
412,vascular disease,S-713082007,Nonruptured cerebral aneurysm due to dissection of cerebral artery (disorder)
413,vascular disease,S-449897004,Adductor canal syndrome (disorder)
414,vascular disease,S-722643003,Major laceration of vertebral artery (disorder)
415,vascular disease,S-195281008,Posterior tibial aneurysm (disorder)
416,vascular disease,S-285171000119104,Occlusion of right carotid artery (disorder)
417,vascular disease,S-195279006,Anterior tibial aneurysm (disorder)
418,vascular disease,S-253680006,Postductal hypoplasia of aorta (disorder)
419,vascular disease,S-247121001,Macular branch retinal vein occlusion (disorder)
420,vascular disease,S-15710721000119104,Dissecting hemorrhage of left vertebral artery (disorder)
421,vascular disease,S-210856007,Injury of vein at forearm level (disorder)
422,vascular disease,S-416377005,Port-wine stain of skin (disorder)
423,vascular disease,S-25772007,Multi-infarct dementia with delusions (disorder)
424,vascular disease,S-402902002,Roseola infantum caused by human herpesvirus 6 (disorder)
425,vascular disease,S-313350005,Varicose veins of leg in short saphenous vein distribution with ulcer (disorder)
426,vascular disease,S-15531007,Injury of popliteal artery (disorder)
427,vascular disease,S-313254003,Varicose vein of leg with phlebitis (disorder)
428,vascular disease,S-448742006,Abnormality of aortic arch (disorder)
429,vascular disease,S-12237271000119105,Aneurysm of left renal artery (disorder)
430,vascular disease,S-111497000,Arterial thrombosis of spinal cord (disorder)
431,vascular disease,S-195340002,Embolism and thrombosis of the splenic artery (disorder)
432,vascular disease,S-307404001,Aortocolonic fistula (disorder)
433,vascular disease,S-842141000000108,Occlusion of dorsalis pedis artery (disorder)
434,vascular disease,S-195397000,Superficial thrombophlebitis of short saphenous vein (disorder)
435,vascular disease,S-234051003,Primary venous insufficiency of leg (disorder)
436,vascular disease,S-111696001,Injury of femoral vein (disorder)
437,vascular disease,S-58361001,Injury of posterior tibial vein (disorder)
438,vascular disease,S-449271003,Residual coarctation of aorta (disorder)
439,vascular disease,S-247124009,Retinal macroaneurysm (disorder)
440,vascular disease,S-233999007,Dissection of iliac artery (disorder)
441,vascular disease,S-460960009,Anomalous origin of ligamentum arteriosum from distal descending aorta (disorder)
442,vascular disease,S-429421009,Injury of artery of hand (disorder)
443,vascular disease,S-312380005,Post-radiological embolism of lower limb artery (disorder)
444,vascular disease,S-93050005,Congenital dilatation of aortic arch (disorder)
445,vascular disease,S-274119009,Rubella in pregnancy (disorder)
446,vascular disease,S-306849003,Occlusion of femorofemoral crossover bypass graft (disorder)
447,vascular disease,S-253675002,Juxtaductal aortic coarctation (disorder)
448,vascular disease,S-88755007,Phlebitis of lateral venous sinus (disorder)
449,vascular disease,S-230735006,Syphilitic cerebral arteritis (disorder)
450,vascular disease,S-16014471000119103,Thrombophlebitis of vein of right lower limb (disorder)
451,vascular disease,S-15929861000119106,Edema of bilateral lower limbs co-occurrent and due to peripheral venous insufficiency (disorder)
452,vascular disease,S-195154000,Ruptured berry aneurysm (disorder)
453,vascular disease,S-711435001,Chronic erythema nodosum migrans (disorder)
454,vascular disease,S-15708001000119106,Dissecting hemorrhage of left carotid artery (disorder)
455,vascular disease,S-232040002,Central retinal vein occlusion - juvenile (disorder)
456,vascular disease,S-41740005,Aneurysm of axillary artery (disorder)
457,vascular disease,S-402970009,Erythema nodosum due to Yersinia enterocolitica (disorder)
458,vascular disease,S-33997006,Aneurysm of gastroduodenal artery (disorder)
459,vascular disease,S-60013002,Measles keratoconjunctivitis (disorder)
460,vascular disease,S-234044007,Iliofemoral deep vein thrombosis (disorder)
461,vascular disease,S-735899002,Laceration of dorsal vein of foot (disorder)
462,vascular disease,S-703176000,Ruptured aneurysm of vertebral artery (disorder)
463,vascular disease,S-734382000,Thrombosis of right carotid artery (disorder)
464,vascular disease,S-195160000,Intracranial subarachnoid hemorrhage from vertebral artery (disorder)
465,vascular disease,S-61605005,Injury of internal mammary artery (disorder)
466,vascular disease,S-71719003,Thrombophlebitis of retinal vein (disorder)
467,vascular disease,S-253514004,Dextraposition of aorta in Fallot's tetralogy (disorder)
468,vascular disease,S-84216001,Cerebral venous thrombosis of pregnancy AND/OR puerperium (disorder)
469,vascular disease,S-448095003,Aortic left ventricular tunnel with right coronary artery from tunnel (disorder)
470,vascular disease,S-431466007,Occlusive disease of artery of upper extremity (disorder)
471,vascular disease,S-403619007,Nitrite-induced flushing (disorder)
472,vascular disease,S-61099007,Rubeola scarlatinosa (disorder)
473,vascular disease,S-210855006,Injury of blood vessels at forearm level (disorder)
474,vascular disease,S-460365008,Systemic to pulmonary collateral artery from right renal artery (disorder)
475,vascular disease,S-186668002,Gammaherpesviral mononucleosis (disorder)
476,vascular disease,S-16012591000119105,Embolism of left popliteal artery (disorder)
477,vascular disease,S-460957002,Anomalous origin of ligamentum arteriosum (disorder)
478,vascular disease,S-210889007,"Open injury, anterior tibial artery (disorder)"
479,vascular disease,S-703312002,Primary cerebral arteritis (disorder)
480,vascular disease,S-460589002,Vascular ring with right aortic arch and left ligamentum arteriosum between left subclavian artery and left common carotid artery (disorder)
481,vascular disease,S-276273007,Unruptured aneurysm of anterior communicating artery (disorder)
482,vascular disease,S-723872006,Acute occlusion of artery of lower limb due to thrombosis (disorder)
483,vascular disease,S-238761009,Primary idiopathic cutaneous telangiectasia (disorder)
484,vascular disease,S-403516008,Scleroderma-associated telangiectasia (disorder)
485,vascular disease,S-461557000,Congenital atresia of aortic arch (disorder)
486,vascular disease,S-770111009,Thrombophlebitis of dorsal venous arch of foot (disorder)
487,vascular disease,S-95451004,Thrombophlebitis of superficial veins of upper extremities (disorder)
488,vascular disease,S-15972541000119104,Thrombosis of bilateral iliac arteries (disorder)
489,vascular disease,S-690791000119107,Penetrating ulcer of aorta (disorder)
490,vascular disease,S-277319006,Ruptured aneurysm of posterior cerebral artery (disorder)
491,vascular disease,S-210902004,Injury of multiple blood vessels at ankle and foot level (disorder)
492,vascular disease,S-703207000,Asymptomatic occlusion of anterior cerebral artery (disorder)
493,vascular disease,S-6956001,Injury of carotid artery (disorder)
494,vascular disease,S-55520003,Vascular compression of esophagus by aberrant right subclavian artery arising from descending aorta (disorder)
495,vascular disease,S-200258006,Obstetric cerebral venous thrombosis (disorder)
496,vascular disease,S-448067003,Recoarctation of aorta (disorder)
497,vascular disease,S-735854005,Laceration of peroneal artery (disorder)
498,vascular disease,S-195320009,Embolism and thrombosis of the radial artery (disorder)
499,vascular disease,S-238773009,Idiopathic livedo reticularis (disorder)
500,vascular disease,S-737244000,Contusion of skin co-occurrent and due to vascular fragility (disorder)
501,vascular disease,S-449651003,Recurrent varicose vein of lower limb (disorder)
502,vascular disease,S-230225001,Septic thrombophlebitis of great cerebral vein (disorder)
503,vascular disease,S-402869009,Reactive vascular proliferation of skin (disorder)
504,vascular disease,S-61091005,Aneurysm of external carotid artery (disorder)
505,vascular disease,S-448158001,Abnormality of thoracoabdominal aorta (disorder)
506,vascular disease,S-186504007,Viral disease characterized by exanthem (disorder)
507,vascular disease,S-15742000,Thrombosis of inferior sagittal sinus (disorder)
508,vascular disease,S-233976008,Aortic bifurcation thrombosis (disorder)
509,vascular disease,S-291411000119104,Spontaneous hemorrhage of subarachnoid space from left posterior communicating artery (disorder)
510,vascular disease,S-210878000,"Closed injury, popliteal artery (disorder)"
511,vascular disease,S-200206000,Varicose veins of legs in pregnancy and the puerperium - delivered (disorder)
512,vascular disease,S-195422002,Phlebitis of the internal iliac vein (disorder)
513,vascular disease,S-95644001,Systemic lupus erythematosus encephalitis (disorder)
514,vascular disease,S-408666009,Dissection of abdominal aorta (disorder)
515,vascular disease,S-233966005,Stenosis of abdominal aorta (disorder)
516,vascular disease,S-292631000119102,Occlusion of left vertebral artery (disorder)
517,vascular disease,S-449650002,Recurrent varicose vein of lower leg (disorder)
518,vascular disease,S-13290008,Aneurysm of iliac artery (disorder)
519,vascular disease,S-41335004,Injury of blood vessels of lower extremity (disorder)
520,vascular disease,S-302880005,Septic thrombophlebitis of sagittal sinus (disorder)
521,vascular disease,S-70933002,Aortitis (disorder)
522,vascular disease,S-762651004,Occlusion of right posterior cerebral artery by embolus (disorder)
523,vascular disease,S-840961000000108,Thrombosis of stent of renal artery (disorder)
524,vascular disease,S-448104005,Localized supravalvar aortic stenosis at sinutubular junction (disorder)
525,vascular disease,S-199194006,Maternal rubella during pregnancy - baby not yet delivered (disorder)
526,vascular disease,S-769036006,Acroangiodermatitis of skin (disorder)
527,vascular disease,S-4262001,Phlebitis of superior sagittal sinus (disorder)
528,vascular disease,S-459164007,Systemic to pulmonary collateral artery from descending thoracic aorta (disorder)
529,vascular disease,S-88922007,Thrombosis of basilar sinus (disorder)
530,vascular disease,S-461602009,Acquired complete obstruction of aortic arch (disorder)
531,vascular disease,S-864211000000100,Thrombosis of external jugular vein (disorder)
